t,steer,gyro_flu,vx,arm,RF_rpm,RF_cur,FL_rpm,FL_cur,RR_rpm,RR_cur,RL_rpm,RL_cur
5.68,0.0,0.0008,0.0,1,0,0.258056640625,0,0.303466796875,0,0.1263427734375,0,0.016326904296875
5.7,0.0,-0.0015,0.0,1,0,0.1253662109375,0,0.4345703125,0,0.09832763671875,0,0.19580078125
5.72,0.0,-0.0018,0.0,1,0,-0.04779052734375,0,-0.378662109375,0,0.09832763671875,0,-0.238037109375
5.74,0.0,-0.0002,0.0,1,0,-0.1746826171875,0,-0.4306640625,0,0.10931396484375,0,-0.056610107421875
5.762,0.0,-1e-04,0.0,1,0,-0.07391357421875,0,0.5234375,0,0.0799560546875,0,0.1800537109375
5.781,0.0,-0.0007,0.0,1,0,-0.0938720703125,0,0.2822265625,0,0.0799560546875,0,-0.03515625
5.802,0.0,-1e-04,0.0,1,0,-0.0936279296875,0,0.365478515625,0,-0.115234375,0,0.01354217529296875
5.822,0.0,-0.0004,0.0,1,0,-0.1943359375,0,0.1871337890625,0,0.1376953125,0,0.11407470703125
5.84,0.0,-0.0005,0.0,1,0,-0.1943359375,0,-0.50830078125,0,-0.115234375,0,0.190185546875
5.861,0.0,-0.0004,0.0,1,0,-0.140380859375,0,0.397705078125,0,0.1375732421875,0,0.16064453125
5.88,0.0,-0.0006,0.0,1,0,0.040924072265625,0,-0.406982421875,0,-0.11004638671875,0,-0.2037353515625
5.9,0.0,0.0002,0.0,1,0,0.040924072265625,0,0.60595703125,0,0.091064453125,0,-0.236328125
5.92,0.0,0.0002,0.0,1,0,-0.104248046875,0,0.170166015625,0,0.0894775390625,0,0.1602783203125
5.941,0.0,0.0,0.0,1,0,0.256103515625,0,-0.2423095703125,0,-0.08282470703125,0,-0.04656982421875
5.961,0.0,-0.0,0.0,1,0,-0.11993408203125,0,0.370849609375,0,0.130126953125,0,0.050933837890625
5.98,0.0,-0.0012,0.0,1,0,0.1280517578125,0,0.18115234375,0,0.08624267578125,0,0.1361083984375
6.0,0.0,-0.0013,0.0,1,0,0.1739501953125,0,0.0736083984375,0,0.1207275390625,0,0.1075439453125
6.02,0.0,-0.0004,0.0,1,0,-0.10821533203125,0,0.50439453125,0,0.186279296875,0,0.044342041015625
6.04,0.0,-0.0006,0.0,1,0,-0.0323486328125,0,-0.344482421875,0,0.1273193359375,0,0.07989501953125
6.061,0.0,-0.0015,0.0,1,0,-0.11822509765625,0,0.103515625,0,0.1766357421875,0,0.172607421875
6.081,0.0,-0.0008,0.0,1,0,-0.10076904296875,0,0.103515625,0,0.126708984375,0,0.203369140625
6.1,0.0,-0.0006,0.0,1,0,-0.10821533203125,0,0.39306640625,0,0.06475830078125,0,-0.255859375
6.12,0.0,-0.0003,0.0,1,0,-0.128662109375,0,-0.1812744140625,0,0.116455078125,0,0.0875244140625
6.14,0.0,-0.001,0.0,1,0,0.1666259765625,0,-0.1812744140625,0,0.169921875,0,0.1270751953125
6.161,0.0,-0.0002,0.0,1,0,-0.11834716796875,0,0.50732421875,0,0.158935546875,0,0.03802490234375
6.18,0.0,-0.0007,0.0,1,0,0.09149169921875,0,0.08294677734375,0,-0.0889892578125,0,0.048553466796875
6.2,0.0,-0.0012,0.0,1,0,-0.0950927734375,0,0.0965576171875,0,-0.07647705078125,0,0.048553466796875
6.22,0.0,-0.0009,0.0,1,0,-0.141845703125,0,0.12030029296875,0,0.099609375,0,0.1024169921875
6.24,0.0,-0.0003,0.0,1,0,0.01485443115234375,0,0.189453125,0,0.08355712890625,0,-0.223876953125
6.26,0.0,-0.002,0.0,1,0,-0.04718017578125,0,-0.62353515625,0,0.1435546875,0,-0.223876953125
6.28,0.0,-0.0004,0.0,1,0,-0.11614990234375,0,0.2171630859375,0,0.09918212890625,0,0.1297607421875
6.3,0.0,-0.0004,0.0,1,0,-0.10540771484375,0,0.232177734375,0,-0.080078125,0,0.1466064453125
6.32,0.0,-0.0003,0.0,1,0,0.2078857421875,0,-0.3515625,0,-0.07440185546875,0,0.1466064453125
6.341,0.0,0.0003,0.0,1,0,-0.200439453125,0,-0.1275634765625,0,0.0936279296875,0,0.0183868408203125
6.36,0.0,0.0004,0.0,1,0,0.2041015625,0,-0.195556640625,0,0.09710693359375,0,0.07586669921875
6.38,0.0,1e-04,0.0,1,0,-0.10064697265625,0,-0.4775390625,0,0.09576416015625,0,-0.033233642578125
6.4,0.0,-0.0007,0.0,1,0,-0.076904296875,0,0.2286376953125,0,-0.089111328125,0,0.18896484375
6.421,0.0,-0.0002,0.0,1,0,-0.1312255859375,0,0.128173828125,0,0.09613037109375,0,0.0975341796875
6.443,0.0,-0.0007,0.0,1,0,0.16748046875,0,0.35888671875,0,-0.06988525390625,0,-0.0726318359375
6.461,0.0,-0.0005,0.0,1,0,-0.141845703125,0,0.2064208984375,0,0.16162109375,0,0.18017578125
6.481,0.0,-0.001,0.0,1,0,-0.10089111328125,0,0.11474609375,0,-0.0914306640625,0,0.176025390625
6.501,0.0,-0.001,0.0,1,0,-0.099365234375,0,-0.11187744140625,0,0.14794921875,0,0.1640625
6.521,0.0,-0.0015,0.0,1,0,-0.17236328125,0,-0.350341796875,0,-0.1356201171875,0,0.12396240234375
6.54,0.0,-0.001,0.0,1,0,-0.11566162109375,0,0.33251953125,0,0.09552001953125,0,-0.019683837890625
6.56,0.0,-0.0015,0.0,1,0,-0.08599853515625,0,0.445556640625,0,0.1278076171875,0,0.209228515625
6.58,0.0,-0.0004,0.0,1,0,-0.127197265625,0,-0.42529296875,0,0.089599609375,0,0.05047607421875
6.6,0.0,1e-04,0.0,1,0,0.16552734375,0,0.364501953125,0,-0.08746337890625,0,0.134521484375
6.62,0.0,0.0008,0.0,1,0,-0.12164306640625,0,-0.058441162109375,0,-0.08746337890625,0,-0.07318115234375
6.64,0.0,-0.001,0.0,1,0,-0.06951904296875,0,-0.434814453125,0,0.062225341796875,0,-0.14501953125
6.661,0.0,-0.0005,0.0,1,0,-0.042510986328125,0,0.222412109375,0,0.1259765625,0,-0.2305908203125
6.681,0.0,-0.0007,0.0,1,0,-0.0985107421875,0,0.1942138671875,0,0.1259765625,0,0.1510009765625
6.7,0.0,-0.0008,0.0,1,0,-0.143310546875,0,0.08331298828125,0,0.11224365234375,0,0.007015228271484375
6.72,0.0,-0.0008,0.0,1,0,-0.07843017578125,0,-0.46142578125,0,0.1328125,0,-0.2000732421875
6.741,0.0,-0.0002,0.0,1,0,-0.07843017578125,0,-0.15625,0,0.10235595703125,0,-0.1468505859375
6.761,0.0,-0.0,0.0,1,0,0.0271148681640625,0,0.18701171875,0,0.11322021484375,0,-0.1976318359375
6.781,0.0,-1e-04,0.0,1,0,0.08001708984375,0,0.357177734375,0,0.1026611328125,0,-0.1456298828125
