t,gyro_z,RF_rpm,RF_cur,FL_rpm,FL_cur,RR_rpm,RR_cur,RL_rpm,RL_cur
1.3776,0.1463,19,13.2578125,100,11.359375,40,14.2890625,86,15.84375
1.3812,0.1374,19,13.2578125,100,11.359375,40,14.2890625,86,15.84375
1.3889,0.1374,31,13.4140625,100,11.359375,18,9.859375,85,13.3046875
1.3915,0.1311,31,13.4140625,100,11.359375,18,9.859375,85,13.3046875
1.3931,0.1311,31,13.4140625,100,11.359375,18,9.859375,85,13.3046875
1.3972,0.1311,31,13.4140625,99,12.6953125,18,9.859375,85,13.3046875
1.4023,0.1646,31,13.4140625,99,12.6953125,18,9.859375,85,13.3046875
1.4058,0.1646,33,12.6875,99,12.6953125,36,14.0078125,88,13.8359375
1.41,0.1646,33,12.6875,99,12.6953125,36,14.0078125,88,13.8359375
1.4107,0.139,33,12.6875,99,12.6953125,36,14.0078125,88,13.8359375
1.4169,0.139,33,12.6875,100,11.21875,36,14.0078125,86,13.25
1.421,0.1312,33,12.6875,100,11.21875,36,14.0078125,86,13.25
1.4254,0.1312,39,14.3359375,100,11.21875,35,14.25,86,13.25
1.428,0.1663,39,14.3359375,100,11.21875,35,14.25,86,13.25
1.431,0.1663,39,14.3359375,100,11.21875,35,14.25,86,13.25
1.4365,0.1663,39,14.3359375,95,14.015625,35,14.25,86,13.25
1.44,0.156,39,14.3359375,95,14.015625,35,14.25,86,13.25
1.446,0.156,38,13.21875,95,14.015625,22,12.15625,87,14.6953125
1.4482,0.1583,38,13.21875,95,14.015625,22,12.15625,87,14.6953125
1.452,0.1583,38,13.21875,95,14.015625,22,12.15625,87,14.6953125
1.4573,0.1583,38,13.21875,97,12.4921875,22,12.15625,87,14.6953125
1.4596,0.1838,38,13.21875,97,12.4921875,22,12.15625,87,14.6953125
1.4667,0.1838,-1,7.94140625,97,12.4921875,31,13.0625,88,14.1328125
1.4693,0.1669,-1,7.94140625,97,12.4921875,31,13.0625,88,14.1328125
